#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,62,99.910004,100.000000,184.234177,39.034657,0.002224,2.715000,25
799,79,125.084999,100.000000,190.851255,42.467925,0.002325,3.625000,25
1199,99,156.419998,100.000000,214.345712,50.580240,0.002646,4.030000,25
1599,104,181.785004,100.000000,233.982419,59.156610,0.002811,4.745000,25
1999,115,220.070007,100.000000,237.451077,51.825253,0.002863,4.170000,25
2399,113,239.860001,100.000000,252.024334,57.419977,0.002970,4.455000,25
2799,124,264.920013,100.000000,280.624148,60.297478,0.003284,4.865000,25
3199,146,293.570007,100.000000,298.744944,69.997433,0.003555,4.970000,25
3599,145,292.355011,100.000000,311.885717,77.203667,0.003664,5.405000,25
3999,143,297.980011,100.000000,296.258112,83.902828,0.003526,5.455000,25
4399,146,329.424988,100.000000,301.835831,75.600850,0.003533,5.335000,25
4799,158,311.434998,100.000000,309.765427,78.591990,0.003700,5.785000,25
5199,141,290.625000,100.000000,312.436271,71.709920,0.003668,5.550000,25
5599,144,274.779999,100.000000,303.163190,76.606370,0.003542,5.225000,25
5999,145,294.190002,100.000000,312.946569,78.305261,0.003686,5.575000,25
6399,147,283.829987,100.000000,301.102032,80.905829,0.003601,5.550000,25
6799,140,256.429993,100.000000,294.228747,78.198803,0.003435,5.385000,25
7199,141,256.904999,100.000000,307.491121,77.955497,0.003624,5.650000,25
7599,131,242.475006,100.000000,309.068584,76.064900,0.003545,5.295000,25
7999,129,232.580002,100.000000,313.261162,75.949430,0.003536,5.320000,25
8399,130,235.929993,100.000000,315.389439,64.074390,0.003487,4.510000,25
8799,129,255.470001,100.000000,300.274456,69.633613,0.003399,5.095000,25
9199,144,269.769989,100.000000,320.315457,74.893833,0.003688,5.295000,25
9599,138,289.459991,100.000000,310.213623,75.886540,0.003528,5.430000,25
9999,142,290.640015,100.000000,300.256502,79.843828,0.003536,5.430000,25
10399,146,306.070007,100.000000,319.376886,84.779644,0.003754,5.750000,25
10799,155,314.445007,100.000000,323.799969,96.988852,0.003781,6.210000,25
11199,150,327.029999,100.000000,319.643981,83.220404,0.003796,5.975000,25
11599,153,337.929993,100.000000,327.501224,82.872819,0.003811,6.135000,25
11999,149,343.135010,100.000000,346.313953,80.831465,0.003971,6.270000,25
12399,141,323.089996,100.000000,324.651215,91.329496,0.003727,6.280000,25
12799,152,341.070007,100.000000,341.997926,88.855130,0.004006,6.445000,25
13199,157,330.804993,100.000000,337.471441,82.244233,0.003959,6.230000,25
13599,153,327.195007,100.000000,328.008815,81.411584,0.003839,6.110000,25
13999,151,311.315002,100.000000,335.452135,78.192999,0.003802,5.985000,25
14399,149,306.114990,100.000000,353.505666,95.038320,0.004018,6.485000,25
14799,147,310.415009,100.000000,347.927890,80.210356,0.003945,5.465000,25
15199,155,345.545013,100.000000,336.029171,82.273408,0.003823,5.840000,25
15599,171,362.614990,100.000000,364.733396,83.636782,0.004118,6.105000,25
15999,153,356.459991,100.000000,359.493568,81.561567,0.004016,5.975000,25
16399,162,349.519989,100.000000,360.966946,84.913505,0.004042,6.280000,25
16799,158,341.184998,100.000000,380.902444,87.696306,0.004261,6.845000,25
17199,157,344.184998,100.000000,378.272662,91.181241,0.004254,6.110000,25
17599,160,371.714996,100.000000,390.234475,89.454658,0.004282,6.395000,25
17999,168,395.619995,100.000000,383.428815,86.805455,0.004227,6.375000,25
18399,165,407.609985,100.000000,385.218667,88.041823,0.004234,6.205000,25
18799,164,403.125000,100.000000,381.353152,99.809940,0.004191,6.715000,25
19199,181,440.714996,100.000000,389.648056,96.377133,0.004357,6.875000,25
19599,166,418.125000,100.000000,366.833265,88.903438,0.004134,6.350000,25
19999,168,441.434998,100.000000,358.295199,102.225373,0.004103,7.170000,25
20399,176,419.605011,100.000000,374.016550,103.435367,0.004251,7.130000,35
20799,170,428.244995,100.000000,380.764718,101.658192,0.004340,7.340000,45
21199,162,396.130005,100.000000,375.540589,99.960778,0.004267,7.115000,55
21599,167,382.684998,100.000000,370.198537,88.211296,0.004196,6.750000,65
21999,162,365.649994,100.000000,347.473525,88.793436,0.004012,6.525000,75
22399,170,334.359985,100.000000,366.386301,94.414394,0.004212,6.525000,85
22799,155,309.165009,100.000000,358.911068,86.167484,0.004103,6.145000,95
23199,152,309.170013,100.000000,366.004700,85.151376,0.004132,6.605000,105
23599,151,311.825012,100.000000,369.662104,92.541446,0.004209,6.775000,115
23999,152,322.950012,100.000000,375.192768,102.437826,0.004213,6.575000,125
24399,156,329.924988,100.000000,377.772315,108.154947,0.004290,7.250000,135
24799,157,313.839996,100.000000,379.539715,101.866097,0.004323,7.930000,145
25199,142,269.299988,100.000000,361.756915,86.905864,0.004105,6.700000,155
25599,148,261.195007,100.000000,377.527624,100.380318,0.004239,6.885000,165
25999,140,245.919998,100.000000,374.961383,94.578046,0.004222,7.130000,175
26399,144,236.350006,100.000000,381.720987,105.296951,0.004238,7.390000,185
26799,138,252.524994,100.000000,388.674675,101.638366,0.004231,7.080000,195
27199,153,260.089996,100.000000,411.118611,105.171713,0.004475,7.775000,205
27599,142,260.420013,100.000000,399.832831,120.108323,0.004422,8.360000,215
27999,148,259.424988,100.000000,400.648509,115.673653,0.004447,7.525000,225
28399,150,256.385010,100.000000,399.879175,117.531505,0.004342,7.495000,235
28799,153,259.364990,100.000000,425.500571,140.669889,0.004568,8.395000,245
29199,145,238.024994,100.000000,423.048416,117.105246,0.004447,8.430000,255
29599,142,230.210007,100.000000,428.360750,125.612442,0.004469,8.345000,265
29999,140,221.095001,100.000000,416.041996,126.062255,0.004376,7.690000,275
30399,144,236.065002,100.000000,420.613616,141.766146,0.004451,8.270000,285
30799,137,225.985001,100.000000,420.739070,136.537553,0.004462,8.580000,295
31199,146,235.000000,100.000000,439.544968,143.358019,0.004610,8.790000,305
31599,129,211.399994,100.000000,411.041401,126.530245,0.004268,8.680000,315
31999,139,210.255005,100.000000,419.496342,132.892240,0.004354,8.315000,325
32399,130,204.080002,100.000000,407.338598,123.760545,0.004226,7.660000,335
32799,132,191.059998,100.000000,398.072856,130.661222,0.004166,8.210000,345
33199,130,192.669998,100.000000,398.573216,138.322815,0.004158,8.320000,355
33599,127,168.804993,100.000000,405.120506,138.236630,0.004193,8.025000,365
33999,125,175.505005,100.000000,416.070438,146.414306,0.004291,8.325000,375
34399,127,166.990005,100.000000,407.057211,135.983730,0.004195,8.240000,385
34799,123,167.845001,100.000000,404.738155,130.394953,0.004168,8.910000,395
35199,126,174.539993,100.000000,412.353581,143.577448,0.004282,8.640000,400
35599,124,168.985001,100.000000,403.942132,139.883939,0.004220,8.565000,400
35999,125,143.740005,100.000000,409.969036,138.641499,0.004311,8.725000,400
36399,125,148.259995,100.000000,407.056722,151.128617,0.004267,8.760000,400
36799,125,157.434998,100.000000,419.603183,134.739780,0.004366,8.490000,400
37199,125,158.285004,100.000000,419.718011,158.009657,0.004387,8.965000,400
37599,127,168.460007,100.000000,423.651343,147.271893,0.004442,8.930000,400
37999,119,158.044998,100.000000,411.486890,158.458485,0.004303,9.340000,400
38399,121,146.835007,100.000000,393.750969,139.058094,0.004098,8.365000,400
38799,117,157.554993,100.000000,411.997937,157.992689,0.004294,8.955000,400
39199,134,148.979996,100.000000,431.471880,161.476103,0.004486,9.905000,400
39599,131,161.259995,100.000000,433.537259,160.890703,0.004548,8.890000,400
39999,124,147.794998,100.000000,420.186957,175.448100,0.004439,9.210000,400
40399,120,160.035004,100.000000,422.136403,158.591135,0.004446,8.765000,400
40799,134,189.550003,100.000000,444.054858,164.957041,0.004648,9.740000,400
41199,132,160.179993,100.000000,421.559108,162.858972,0.004424,8.550000,400
41599,130,162.100006,100.000000,414.900516,168.819862,0.004404,9.320000,400
41999,126,171.414993,100.000000,415.044283,156.402067,0.004381,8.900000,400
42399,133,177.500000,100.000000,431.166232,163.879100,0.004592,9.170000,400
42799,133,165.979996,100.000000,430.689218,163.818063,0.004600,9.035000,400
43199,122,155.559998,100.000000,414.565783,157.138222,0.004406,9.225000,400
43599,123,165.630005,100.000000,406.608743,167.315805,0.004306,9.255000,400
43999,129,153.904999,100.000000,431.283925,188.462666,0.004552,9.785000,400
44399,128,160.014999,100.000000,420.508246,177.193924,0.004444,9.605000,400
44799,134,155.800003,100.000000,429.738197,180.403717,0.004524,10.545000,400
45199,121,142.529999,100.000000,426.180060,173.866264,0.004471,10.005000,400
45599,131,153.100006,100.000000,437.855424,190.109909,0.004612,9.560000,400
45999,129,146.925003,100.000000,433.855878,192.821509,0.004549,10.090000,400
46399,119,145.184998,100.000000,417.624027,194.927800,0.004377,10.470000,400
46799,123,162.149994,100.000000,427.674282,195.204010,0.004472,9.950000,400
47199,121,139.014999,100.000000,435.746920,197.505912,0.004554,10.310000,400
47599,134,147.809998,100.000000,438.063139,171.521618,0.004570,9.540000,400
47999,106,138.315002,100.000000,404.855257,161.993189,0.004224,9.090000,400
48399,123,144.455002,100.000000,418.118958,168.924785,0.004363,9.715000,400
48799,119,144.804993,100.000000,424.763104,179.762638,0.004429,9.750000,400
49199,120,136.000000,100.000000,428.981232,182.013436,0.004462,9.945000,400
49599,112,140.820007,100.000000,405.498177,173.951081,0.004225,10.080000,400
49999,123,143.804993,100.000000,415.028354,182.760272,0.004306,9.495000,400
50399,125,136.410004,100.000000,430.291765,206.884176,0.004471,10.745000,400
50799,116,141.345001,100.000000,416.532781,206.649569,0.004348,10.040000,400
51199,127,139.414993,100.000000,438.476618,190.778288,0.004575,10.470000,400
51599,112,155.485001,100.000000,415.138238,200.630339,0.004355,10.140000,400
51999,123,146.710007,100.000000,426.991027,189.013346,0.004458,10.580000,400
52399,110,138.714996,100.000000,411.370937,196.561657,0.004282,10.260000,400
52799,126,138.550003,100.000000,431.852423,194.982530,0.004500,10.210000,400
53199,109,149.095001,100.000000,416.618734,194.956954,0.004323,9.465000,400
53599,125,144.050003,100.000000,423.964068,206.010261,0.004405,9.760000,400
53999,112,146.979996,100.000000,412.944289,224.355459,0.004275,10.210000,400
54399,119,135.639999,100.000000,414.740196,205.095033,0.004296,10.495000,400
54799,120,146.460007,100.000000,424.101388,193.435113,0.004389,10.295000,400
55199,112,123.495003,100.000000,413.507863,189.024586,0.004288,9.900000,400
55599,119,130.994995,100.000000,429.630561,211.683164,0.004444,10.150000,400
55999,112,119.474998,100.000000,425.430091,203.131054,0.004418,10.725000,400
56399,115,134.360001,100.000000,431.276412,210.222629,0.004470,10.140000,400
56799,104,125.425003,100.000000,401.081529,197.139659,0.004150,9.145000,400
57199,118,134.940002,100.000000,432.451899,233.075614,0.004485,10.715000,400
57599,110,121.370003,100.000000,410.460574,216.295860,0.004261,9.485000,400
57999,126,120.070000,100.000000,443.198484,211.382217,0.004601,10.720000,400
58399,107,122.824997,100.000000,411.317463,190.133126,0.004255,9.705000,400
