#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,14,11.865000,30.561670,149.198864,33.149530,0.001768,2.720000,25
799,17,18.754999,30.589587,149.816368,33.962326,0.001802,2.925000,25
1199,25,34.514999,39.397665,146.978736,32.739817,0.001719,2.785000,25
1599,27,29.480000,33.470483,171.666966,45.317579,0.002025,3.330000,25
1999,27,31.190001,40.231403,190.628394,53.462611,0.002236,3.520000,25
2399,38,37.165001,40.871308,211.356213,53.266154,0.002482,4.055000,25
2799,38,35.555000,40.520321,216.942105,59.372903,0.002509,3.990000,25
3199,47,55.580002,47.176719,229.504744,59.995985,0.002633,4.505000,25
3599,47,52.625000,46.115122,248.561336,65.115208,0.002860,5.050000,25
3999,48,60.355000,51.666728,248.973183,73.502166,0.002853,4.960000,25
4399,66,70.425003,52.886290,262.187896,76.251470,0.003030,5.395000,25
4799,65,80.250000,51.539672,259.096343,71.079264,0.003009,4.850000,25
5199,62,74.285004,56.710851,265.689795,76.646404,0.002976,4.790000,25
5599,68,80.584999,55.432652,279.185811,79.855833,0.003137,5.020000,25
5999,84,104.684998,55.920112,293.769521,89.825305,0.003333,5.385000,25
6399,82,104.849998,57.414299,289.276825,84.449927,0.003277,5.505000,25
6799,80,109.489998,57.506294,292.292805,79.242341,0.003239,5.775000,25
7199,88,137.455002,62.445866,293.120107,82.933301,0.003254,5.835000,25
7599,99,145.940002,58.690308,300.813080,83.944545,0.003291,5.915000,25
7999,102,146.884995,63.788592,332.345978,92.700825,0.003584,5.695000,25
8399,99,145.764999,63.964983,325.742251,84.291133,0.003542,5.785000,25
8799,96,157.794998,64.920655,317.452141,87.503326,0.003443,5.885000,25
9199,118,178.589996,66.843020,352.007582,94.662706,0.003826,6.305000,25
9599,100,138.195007,59.325345,312.943001,84.662581,0.003449,6.155000,25
9999,86,125.089996,59.859562,302.826770,84.619761,0.003384,5.755000,25
10399,87,122.820000,62.567757,299.082511,74.354346,0.003295,5.525000,25
10799,93,131.500000,64.621652,317.089341,76.207411,0.003459,5.560000,25
11199,84,138.955002,63.794699,315.771603,86.966134,0.003502,5.755000,25
11599,101,143.679993,65.326176,321.756752,76.140777,0.003510,5.185000,25
11999,95,135.449997,66.415688,320.655536,83.601607,0.003615,6.125000,25
12399,93,146.425003,66.710484,312.240287,78.329535,0.003486,5.895000,25
12799,87,143.785004,73.100202,296.971018,72.231989,0.003354,5.535000,25
13199,90,165.384995,72.815489,300.101910,83.796247,0.003389,6.200000,25
