#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,58,83.720001,100.000000,185.719406,31.067294,0.002223,2.445000,25
799,75,111.809998,100.000000,178.682519,40.952345,0.002125,2.925000,25
1199,74,131.220001,100.000000,191.098165,46.754359,0.002302,3.120000,25
1599,90,143.729996,100.000000,196.662416,44.395106,0.002368,3.445000,25
1999,85,128.324997,100.000000,196.904563,42.704132,0.002387,3.765000,25
2399,83,126.080002,100.000000,197.217450,51.350919,0.002406,3.860000,25
2799,98,156.404999,100.000000,236.108830,55.191089,0.002810,4.195000,25
3199,102,168.095001,100.000000,260.941305,66.337562,0.002983,4.385000,25
3599,117,190.604996,100.000000,273.872673,71.637374,0.003152,4.950000,25
3999,123,213.134995,100.000000,308.091771,70.736735,0.003428,5.520000,25
4399,124,235.210007,100.000000,316.993891,71.677685,0.003539,5.185000,25
4799,140,280.230011,100.000000,331.242545,73.105107,0.003643,5.440000,25
5199,138,259.475006,100.000000,338.920670,73.895650,0.003676,5.615000,25
5599,140,264.225006,100.000000,355.542238,66.737158,0.003817,5.545000,25
5999,138,270.135010,100.000000,350.934359,82.314090,0.003774,5.875000,25
6399,137,259.940002,100.000000,336.590705,77.044941,0.003633,5.025000,25
6799,142,271.040009,100.000000,359.163749,84.174665,0.003888,5.820000,25
7199,140,267.454987,100.000000,366.997698,79.676107,0.003944,5.625000,25
7599,149,293.845001,100.000000,345.743941,85.004403,0.003737,5.785000,25
7999,150,301.394989,100.000000,357.312088,94.619278,0.003904,6.285000,25
8399,152,311.065002,100.000000,367.916192,94.178625,0.004038,6.295000,25
8799,157,312.024994,100.000000,356.160943,95.454859,0.003958,6.190000,25
9199,153,318.845001,100.000000,351.441722,105.682074,0.003978,6.905000,25
9599,164,342.519989,100.000000,378.864985,112.169556,0.004255,6.905000,25
9999,156,334.005005,100.000000,385.113097,96.035379,0.004303,6.800000,25
10399,151,323.714996,100.000000,353.169116,93.099402,0.004028,6.215000,25
10799,153,340.945007,100.000000,347.511842,105.676743,0.004002,6.495000,25
11199,160,355.915009,100.000000,339.091620,95.099566,0.003919,6.195000,25
11599,151,352.489990,100.000000,337.324712,92.514072,0.003877,6.225000,25
11999,164,358.875000,100.000000,338.284016,96.606067,0.003992,6.830000,25
12399,159,351.954987,100.000000,337.594767,93.856010,0.003954,6.420000,25
12799,171,378.934998,100.000000,374.454949,102.008140,0.004278,7.070000,25
