#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,11,8.575000,28.323732,151.417351,27.620093,0.001719,2.565000,25
799,14,15.540000,31.834782,141.214931,30.304615,0.001720,2.535000,25
1199,20,21.084999,33.766122,148.953683,27.474677,0.001708,2.745000,25
1599,21,26.065001,42.963421,159.035711,36.756397,0.001906,3.425000,25
1999,16,18.209999,42.033710,176.078824,40.431411,0.002084,3.765000,25
2399,28,35.020000,43.922375,193.730878,48.820691,0.002307,3.910000,25
2799,24,27.764999,39.334201,201.143797,47.574201,0.002353,4.065000,25
3199,34,41.439999,45.459832,218.389215,55.685160,0.002578,4.140000,25
3599,33,33.095001,40.354222,205.397936,51.798966,0.002438,3.830000,25
3999,27,32.130001,42.497012,199.379323,52.184618,0.002285,3.920000,25
4399,29,32.360001,38.840549,214.458500,55.832868,0.002478,3.855000,25
4799,19,23.430000,35.458200,204.468132,57.738688,0.002351,3.645000,25
5199,23,17.469999,33.907456,209.574525,55.073311,0.002414,3.610000,25
5599,15,7.770000,32.990744,210.041295,54.329845,0.002367,3.840000,25
5999,20,19.260000,39.646130,210.050115,58.541420,0.002381,3.860000,25
6399,22,30.559999,43.212221,207.385562,55.447349,0.002309,3.840000,25
6799,33,38.285000,42.935365,222.556393,58.105947,0.002495,3.820000,25
7199,35,37.665001,48.165783,240.124837,66.307693,0.002650,4.310000,25
7599,32,44.360001,52.393410,236.271740,62.048199,0.002626,4.290000,25
7999,33,54.189999,37.606132,239.466562,59.172771,0.002653,4.015000,25
8399,46,70.230003,58.066683,262.526488,59.687952,0.002910,4.430000,25
8799,57,89.695000,62.932468,285.408497,64.163625,0.003105,4.390000,25
9199,61,82.754997,58.266448,277.181121,68.791160,0.003053,4.665000,25
9599,66,100.824997,66.827852,289.571834,73.850396,0.003198,5.085000,25
9999,63,98.184998,70.408223,293.934923,64.877484,0.003217,4.925000,25
10399,51,79.930000,63.110940,271.043414,60.851812,0.002892,4.410000,25
10799,54,84.000000,67.664455,278.138736,69.188510,0.002962,4.870000,25
11199,69,101.290001,68.964561,287.502036,59.001474,0.003054,5.090000,25
11599,65,114.995003,74.253969,299.510073,69.578167,0.003144,5.050000,25
11999,80,128.949997,77.942016,312.123184,70.648425,0.003356,5.595000,25
12399,79,114.834999,75.679598,315.477597,69.235927,0.003381,5.680000,25
12799,84,116.440002,78.371894,328.641528,77.325587,0.003567,6.140000,25
13199,80,107.584999,80.088374,337.279810,93.768136,0.003668,6.395000,25
13599,81,121.195000,77.092728,329.075130,83.701048,0.003550,5.450000,25
13999,83,127.370003,78.623046,329.982351,84.891524,0.003544,5.525000,25
14399,90,138.654999,74.242617,330.305503,79.890843,0.003617,5.330000,25
14799,88,136.794998,57.712464,321.644128,87.589367,0.003584,5.695000,25
15199,84,131.500000,73.277781,310.852088,84.071626,0.003457,5.580000,25
15599,76,122.239998,74.054766,308.200636,79.805298,0.003369,5.010000,25
15999,71,108.000000,70.013703,295.889684,75.432141,0.003354,5.120000,25
16399,68,95.294998,68.099615,301.572240,89.311409,0.003428,5.545000,25
16799,64,102.605003,73.234525,298.408141,80.918199,0.003323,5.145000,25
17199,75,96.830002,71.067537,306.791650,90.978718,0.003492,6.045000,25
17599,68,88.305000,71.889993,289.869747,80.061402,0.003230,5.005000,25
17999,59,83.165001,74.584382,290.481756,92.408262,0.003284,5.900000,25
18399,63,90.745003,72.998643,296.258492,90.596201,0.003361,5.900000,25
18799,59,79.949997,75.904371,295.895278,96.676444,0.003312,5.735000,25
19199,62,75.065002,78.073703,285.693809,84.841176,0.003215,5.595000,25
19599,64,88.464996,79.055168,288.257839,96.208561,0.003236,5.770000,25
19999,60,77.849998,72.286125,287.987591,92.859399,0.003260,6.135000,25
20399,58,70.449997,69.738425,278.718374,87.543661,0.003154,5.705000,35
20799,52,66.040001,70.999730,284.558882,92.815152,0.003226,6.245000,45
21199,53,64.059998,68.842939,300.325345,101.406416,0.003460,6.690000,55
21599,57,70.514999,70.315288,296.899403,98.258925,0.003389,6.215000,65
21999,63,76.684998,68.516076,301.002390,97.185873,0.003372,6.365000,75
22399,56,63.244999,69.784008,297.439722,86.931130,0.003324,6.300000,85
22799,49,53.029999,62.927430,297.850099,100.727180,0.003377,6.505000,95
23199,49,56.279999,72.582433,295.286756,95.656391,0.003344,6.600000,100
23599,50,50.884998,73.330996,297.978971,103.444401,0.003334,5.945000,100
23999,56,55.025002,70.237162,312.067429,95.559876,0.003475,6.245000,100
24399,51,44.820000,76.490392,299.578285,93.803003,0.003330,5.730000,100
24799,47,46.020000,74.700835,291.779827,102.120477,0.003214,6.050000,100
25199,51,62.389999,79.470102,302.055832,104.354157,0.003371,6.050000,100
25599,57,62.959999,76.082924,314.162005,106.770355,0.003545,6.050000,100
25999,65,72.760002,81.072471,308.000884,112.157046,0.003480,6.355000,100
26399,61,70.250000,78.014529,311.855925,105.269339,0.003485,6.285000,100
26799,60,65.339996,79.566385,316.319583,106.315573,0.003514,6.765000,100
27199,63,67.550003,78.603058,317.154373,104.367706,0.003567,6.170000,100
27599,54,77.900002,78.639286,314.912227,101.930851,0.003548,6.460000,100
27999,72,82.870003,82.519159,335.007913,106.103643,0.003760,7.085000,100
