#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,22,26.450001,33.310675,162.373831,35.056740,0.001909,2.675000,25
799,23,27.545000,36.064888,155.547395,33.170117,0.001870,2.725000,25
1199,25,31.084999,40.368002,162.248487,35.695342,0.001963,3.060000,25
1599,30,37.200001,33.182012,159.498966,39.512506,0.001947,3.090000,25
1999,29,30.930000,34.908712,171.644031,46.359578,0.002087,3.105000,25
2399,29,32.764999,41.202100,171.849386,42.601827,0.002037,3.365000,25
2799,33,30.610001,42.129838,198.471926,51.970126,0.002318,4.135000,25
3199,36,38.500000,44.678026,212.840641,56.676461,0.002506,4.195000,25
3599,48,46.410000,48.703946,228.669003,57.787242,0.002627,4.365000,25
3999,33,43.455002,46.422280,216.803829,58.784926,0.002497,4.605000,25
4399,39,48.080002,42.631057,226.811375,60.316407,0.002630,4.555000,25
4799,35,50.235001,47.055069,223.127565,57.490397,0.002548,4.555000,25
5199,47,62.584999,47.812791,237.722758,59.376180,0.002712,4.695000,25
5599,45,57.404999,54.762743,223.178631,63.111471,0.002550,4.115000,25
5999,48,56.759998,50.809521,256.282866,70.231523,0.002947,4.930000,25
6399,47,67.735001,52.484731,242.585815,65.052830,0.002785,4.805000,25
6799,52,77.480003,52.287916,243.933633,72.896341,0.002819,5.170000,25
7199,57,78.855003,52.858300,250.623513,63.683704,0.002792,4.840000,25
7599,63,84.445000,54.079309,265.072326,64.159963,0.002992,5.080000,25
7999,57,82.135002,51.136431,264.002085,61.380353,0.002946,5.560000,25
8399,69,93.309998,54.316030,260.892439,62.597230,0.002963,4.915000,25
8799,69,115.910004,58.135447,255.934593,64.535362,0.002897,5.055000,25
9199,83,119.870003,60.941538,295.912698,83.145390,0.003344,5.915000,25
9599,67,97.150002,52.879393,267.366477,74.779045,0.002987,5.285000,25
9999,61,88.735001,51.988569,279.692217,84.455300,0.003134,5.500000,25
10399,67,89.230003,53.505791,276.845468,76.097517,0.003142,5.675000,25
10799,61,73.885002,50.879395,289.179838,78.963713,0.003298,5.875000,25
11199,63,80.184998,55.926537,270.792365,61.575084,0.003073,4.775000,25
11599,54,70.904999,53.221410,270.071344,73.707407,0.003120,5.115000,25
11999,72,103.014999,63.584783,270.954170,72.770175,0.003157,5.340000,25
12399,70,88.139999,53.157398,282.217484,79.242191,0.003262,5.365000,25
12799,57,79.065002,49.395375,267.696125,80.478647,0.003050,4.965000,25
13199,64,72.410004,54.756201,288.096310,76.178572,0.003215,5.095000,25
13599,56,66.105003,50.784518,264.917656,73.139908,0.002980,4.830000,25
13999,50,61.145000,47.125329,268.049352,87.812701,0.003030,5.220000,25
14399,62,83.044998,54.468970,292.274480,81.682086,0.003294,5.700000,25
14799,56,77.855003,55.747881,294.976593,90.916713,0.003339,5.775000,25
15199,65,85.745003,55.192323,296.000728,86.456071,0.003327,5.415000,25
15599,55,66.394997,51.468958,280.366485,79.723811,0.003109,5.165000,25
15999,69,79.330002,57.408759,298.253244,81.149619,0.003310,5.195000,25
