#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,10,11.240000,27.990171,154.392737,33.688987,0.001817,2.710000,25
799,18,13.115000,33.969553,150.712443,34.952556,0.001879,2.995000,25
1199,31,30.540001,51.207119,164.412216,36.772539,0.001992,3.455000,25
1599,31,26.195000,37.990365,158.098933,41.229325,0.002001,3.290000,25
1999,28,23.760000,39.066242,173.196977,42.883721,0.002135,3.575000,25
2399,32,37.794998,35.677637,174.442363,41.011540,0.002108,3.785000,25
2799,29,36.895000,37.219737,182.856112,43.538011,0.002252,4.040000,25
3199,23,27.250000,32.997925,193.039736,51.008003,0.002362,4.655000,25
3599,29,31.340000,37.064436,194.285811,51.988188,0.002304,4.270000,25
3999,32,38.634998,36.148363,203.121768,59.601167,0.002392,3.965000,25
4399,29,42.020000,34.470634,223.840752,58.038395,0.002643,4.565000,25
4799,41,44.805000,36.283670,226.945502,66.308487,0.002688,4.685000,25
5199,46,49.009998,40.016874,236.102576,63.273540,0.002755,4.450000,25
5599,42,47.055000,40.918442,227.846290,60.178102,0.002710,4.970000,25
5999,36,38.759998,32.948220,216.696670,59.953178,0.002580,5.195000,25
6399,37,39.154999,36.804629,210.273728,65.463750,0.002521,5.005000,25
6799,37,35.355000,34.434908,219.656190,67.841465,0.002619,4.740000,25
7199,43,52.509998,44.877816,221.945193,57.983711,0.002657,4.045000,25
7599,52,74.500000,47.030559,230.501182,59.301331,0.002732,4.890000,25
7999,55,77.739998,45.731129,243.631185,65.210511,0.002843,4.660000,25
8399,62,77.665001,47.883675,253.150920,65.250328,0.002898,4.485000,25
8799,74,97.665001,50.240700,267.624131,74.269071,0.003096,5.290000,25
9199,71,103.339996,52.450166,266.781121,78.852752,0.003141,5.185000,25
9599,69,100.830002,52.924092,288.294410,84.944623,0.003345,5.235000,25
9999,84,119.275002,53.415042,291.722239,80.615266,0.003415,5.605000,25
10399,90,133.395004,54.455026,298.400269,90.464652,0.003496,5.900000,25
10799,85,133.759995,56.444761,275.825769,85.126316,0.003242,5.440000,25
11199,97,153.354996,54.608033,313.768304,81.261113,0.003616,6.220000,25
11599,88,146.139999,55.507934,294.696874,76.796516,0.003403,5.685000,25
11999,94,151.934998,59.208700,306.006319,87.828889,0.003589,6.080000,25
12399,82,119.855003,52.756353,293.143057,76.871780,0.003345,5.355000,25
12799,81,111.834999,52.615591,304.828791,83.399736,0.003476,5.325000,25
13199,72,97.324997,50.093016,272.954443,74.093655,0.003171,5.515000,25
13599,60,74.065002,48.598388,258.514977,79.469610,0.003018,5.710000,25
13999,53,63.360001,41.066799,260.805372,78.003094,0.002941,5.335000,25
14399,54,72.614998,48.831372,256.567359,79.123336,0.002920,5.515000,25
14799,71,87.339996,50.231829,287.514339,77.962373,0.003225,5.475000,25
15199,61,64.044998,46.168652,263.261726,70.343026,0.002950,5.230000,25
15599,54,65.925003,49.094682,273.801093,76.684057,0.003073,5.575000,25
15999,65,68.830002,50.491637,293.825733,76.232808,0.003297,5.890000,25
16399,55,61.340000,44.236165,280.334323,69.585659,0.003167,5.280000,25
16799,62,62.689999,44.373046,285.902346,80.340482,0.003254,5.960000,25
17199,54,71.089996,49.318449,292.500785,92.382520,0.003300,5.995000,25
17599,64,64.180000,45.458006,305.539311,90.748152,0.003429,5.905000,25
17999,61,55.244999,46.163761,294.507810,92.309939,0.003337,5.745000,25
18399,46,45.680000,45.453402,285.938121,97.207629,0.003246,5.780000,25
18799,52,57.564999,46.896704,297.881716,89.840693,0.003425,6.070000,25
19199,51,54.400002,48.398452,283.795481,94.372629,0.003227,6.125000,25
19599,53,37.895000,44.113890,301.537154,91.749538,0.003457,5.900000,25
19999,45,41.064999,47.154993,282.623146,94.961532,0.003214,5.940000,25
20399,34,33.865002,40.651685,275.138728,104.297954,0.003156,6.030000,35
20799,40,39.020000,41.740751,297.840468,109.474479,0.003345,6.690000,45
21199,48,38.630001,46.411752,307.994657,110.771768,0.003485,6.570000,55
21599,47,38.250000,51.862678,286.282097,102.387499,0.003234,6.160000,65
21999,42,34.775002,48.406638,303.657665,113.266594,0.003420,6.535000,75
22399,40,33.035000,50.300846,284.783850,108.515753,0.003204,6.605000,85
22799,45,33.770000,50.044146,305.624010,122.437064,0.003410,6.690000,95
23199,43,36.000000,46.853030,296.772086,123.061071,0.003298,6.765000,105
23599,39,38.375000,50.763411,293.917166,123.497894,0.003291,6.990000,115
23999,47,42.160000,49.865298,312.918814,115.759766,0.003481,7.555000,125
24399,52,46.145000,50.913501,302.995813,123.031949,0.003404,7.430000,135
24799,50,41.884998,54.273993,308.238979,124.056698,0.003463,7.455000,145
25199,49,44.279999,57.513822,291.329465,112.476910,0.003301,7.030000,155
25599,50,49.040001,58.622572,294.674852,114.287043,0.003323,7.250000,165
25999,52,51.525002,58.196108,303.495196,95.668807,0.003421,6.645000,175
26399,49,48.049999,58.131822,296.273862,108.065299,0.003306,7.410000,185
